Opportunity__c,Name,AccountId,Ownership__c,Annual_Hours__c
006Ho00000SGlE6IAL,FSDN,001OF00000ImHvVYAV,0.03125,50
006Ho00000Sdj23IAB,GNAS,001OF00000IfpYsYAJ,0.03125,25
006OF000006DO2gYAG,GFSX,001OF00000IfWg4YAF,0.03125,25
0061G00000LTpyfQAD,GBAS,001OF00000IfWg4YAF,0.09,50
0061G00000LTy7CQAT,GZAS,001OF00000ImOlgYAF,0.012,25
0061G00000LU7t3QAD,FIAS,001OF00000IsolUYAR,0.012,50
0061G00000LU7t3QAD,FSUP,001OF00000ImOlgYAF,0.015,50
0061G00000LUBf5QAH,GNAS,001OF00000IkA5HYAV,0.015,50
0061G00000LUC7dQAH,FASP,001OF00000INEPhYAP,0.03125,25
0061G00000NvNfJQAV,FASR,001OF00000IhzM4YAJ,0.09,12.5
0061G00000LUDJRQA5,GZAS,001OF00000IfpYsYAJ,0.09,25
0061G00000Ne9sIQAR,FASR,001OF00000Ioq13YAB,0.09,12.5
0061G00000OLy7HQAT,FSYX,001OF00000IfKIFYA3,0.09,25
0061G00000LUJKUQA5,FIAS,001OF00000IVUNgYAP,0.03125,25
0061G00000NcawgQAB,GNAS,001OF00000Ip5kvYAB,0.03125,25
0061G00000NuTN0QAN,FSFS,001OF00000IkAtGYAV,0.015,12.5
0061G00000OPO6vQAH,FSFP,001OF00000IsolUYAR,0.015,50
0061G00000LUnRdQAL,FASR,001OF00000ImHvVYAV,0.015,50
0061G00000NcaxTQAR,GNAS,0011G00000vibZ3QAI,0.015,50
,GASR,001OF00000Ip5kvYAB,0.09,25
0061G00000LUwTiQAL,FASR,001OF00000IfKIFYA3,0.03125,25
0061G00000NcNcWQAV,GASR,001OF00000ImHvVYAV,0.03125,50
0061G00000LUxQsQAL,GASR,001OF00000IMTqfYAH,0.03125,25
0061G00000NuM7IQAV,FASW,001OF00000IGTLUYA5,0.03125,25
0061G00000QjwtZQAR,GFFS,001OF00000IkA5HYAV,0.03125,25
0061G00000LV1i5QAD,FASR,001OF00000IfWg4YAF,0.0312,25
0061G00000Nb9gJQAR,FSFS,001OF00000JN4nzYAD,0.03125,25
0061G00000OOxrAQAT,FSNP,001OF00000IdyEuYAJ,0.03125,25
,FNAS,001OF00000IiTX3YAN,0.03125,50
,FSQX,001OF00000IkA5HYAV,0.03125,50
0061G00000NbC7DQAV,GNAS,001OF00000IhzM4YAJ,0.03125,50
0061G00000NbDrzQAF,GNAS,001OF00000IVUNgYAP,0.09,50
,FSNY,001OF00000IfKIFYA3,0.09,50
0061G00000NbYOIQA3,GXAS,001OF00000IsolUYAR,0.09,50
0061G00000NbtimQAB,GNAS,001OF00000Ioq13YAB,0.09,25
0061G00000NcGydQAF,FASW,001OF00000IfKIFYA3,0.09,25
0061G00000NcdeHQAR,FNAS,001OF00000IkAtGYAV,0.03125,50
0061G00000QIyU8QAL,FSNY,001OF00000IMTqfYAH,0.0312,50
006Ho00000SJ2y6IAD,FSFO,001OF00000IkAtGYAV,0.03125,25
,FSQX,001OF00000IMTqfYAH,0.03125,50
0061G00000Ncf20QAB,FNAS,001OF00000JN4nzYAD,0.03125,50
,FSNP,001OF00000IfpYsYAJ,0.03125,50
0061G00000NcqyQQAR,FSNP,001OF00000ImHvVYAV,0.03125,100
,GASE,001OF00000IsolUYAR,0.09,25
0061G00000NdCVIQA3,GASE,001OF00000ImOlgYAF,0.09,50
0061G00000NdFLfQAN,GASR,0011G00000vibZ3QAI,0.09,25
0061G00000NdRI5QAN,GNAS,001OF00000JQeDQYA1,0.09,25
0061G00000OM9xYQAT,FSFO,001OF00000JQeDQYA1,0.09,25
006OF000008lqwEYAQ,FSFP,001OF00000IGTLUYA5,0.03125,25
,FSNP,001OF00000IkAtGYAV,0.09,75
0061G00000NdJmkQAF,GASR,001OF00000INEPhYAP,0.09,37.5
0061G00000NvNKuQAN,FSNP,001OF00000JN4nzYAD,0.09,75
0061G00000LRuP3QAL,GNAS,001OF00000JN4nzYAD,0.09,25
0061G00000OgYxtQAF,FSFO,0011G00000vibZ3QAI,0.03125,25
0061G00000OgZXSQA3,FSYX,001OF00000IhzM4YAJ,0.0312,25
0061G00000Ndq7jQAB,GNAS,001OF00000IMTqfYAH,0.03125,25
0061G00000Ndx45QAB,GBAS,001OF00000IfpYsYAJ,0.03125,37.5
0061G00000Nvh9iQAB,FSBR,001OF00000ImHvVYAV,0.03125,25
0061G00000NdxzaQAB,GNAS,001OF00000IVUNgYAP,0.03125,37.5
0061G00000Nv0EcQAJ,FSFS,001OF00000INEPhYAP,0.03125,12.5
0061G00000OhaNuQAJ,FSYX,001OF00000IfWg4YAF,0.09,50
0061G00000NdzMKQAZ,FASR,001OF00000IsolUYAR,0.015,25
0061G00000QikPoQAJ,FSQX,001OF00000IhzM4YAJ,0.0312,25
0061G00000NeLOBQA3,FASR,001OF00000INEPhYAP,0.015,25
0061G00000QlZIyQAN,FASR,001OF00000IkAtGYAV,0.09,12.5
,FASR,001OF00000IdyEuYAJ,0.0312,25
0061G00000NePyKQAV,FASR,001OF00000IiTX3YAN,0.03125,37.5
0061G00000Ned6TQAR,GASR,001OF00000JN4nzYAD,0.03125,25
0061G00000NkaUqQAJ,GFSX,001OF00000ImOlgYAF,0.03125,25
0061G00000NefjBQAR,GASE,001OF00000Ip5kvYAB,0.03125,50
006Ho00000QrLDQIA3,FLAS,001OF00000IMTqfYAH,0.03125,25
0061G00000LSoRwQAL,FASR,001OF00000IkA5HYAV,0.09,25
0061G00000NsyRZQAZ,GNAS,001OF00000IiTX3YAN,0.09,25
0061G00000NsyTpQAJ,FSFS,001OF00000Ip5kvYAB,0.09,25
0061G00000OLf5RQAT,FASW,001OF00000IsolUYAR,0.09,25
